Date : 2022-06-07 11:35:09
Directory : /Users/zhangyiyao/Desktop/firstapp
Total : 124 files,  43923 codes, 539 comments, 472 blanks, all 44934 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/drag.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/edit.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/education.svg                  | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/email.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/example.svg                    | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/excel.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/exit-fullscreen.svg            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/eye-open.svg                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/eye.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/form.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/fullscreen.svg                 | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/guide.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/icon.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/international.svg              | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/language.svg                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/link.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/list.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/lock.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/message.svg                    | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/money.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/nested.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/password.svg                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/pdf.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/people.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/peoples.svg                    | XML        |          1 |          0 |          0 |          1 |
