"filename", "language", "Vue.js", "JavaScript", "SCSS", "Markdown", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/list.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/lock.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/message.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/money.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/nested.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/password.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/people.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/qq.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/search.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/shopping.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/size.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/skill.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
