Date : 2022-06-07 11:40:27
Directory : /Users/zhangyiyao/Desktop/project
Total : 220 files,  106090 codes, 587 comments, 861 blanks, all 107538 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zhangyiyao/Desktop/project/firstapp/.VSCodeCounter/2022-06-07_11-35-09/results.md           | Markdown   |         49 |          0 |          7 |         56 |
| /Users/zhangyiyao/Desktop/project/firstapp/.postcssrc.js                                           | JavaScript |          7 |          2 |          2 |         11 |
| /Users/zhangyiyao/Desktop/project/firstapp/README.md                                               | Markdown   |         20 |          0 |         11 |         31 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/build.js                                          | JavaScript |         35 |          0 |          7 |         42 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/check-versions.js                                 | JavaScript |         45 |          0 |         10 |         55 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/utils.js                                          | JavaScript |         80 |          5 |         17 |        102 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/vue-loader.conf.js                                | JavaScript |         21 |          0 |          2 |         23 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/webpack.base.conf.js                              | JavaScript |         88 |          8 |          3 |         99 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/webpack.dev.conf.js                               | JavaScript |         90 |         12 |          7 |        109 |
| /Users/zhangyiyao/Desktop/project/firstapp/build/webpack.prod.conf.js                              | JavaScript |        118 |         24 |          8 |        150 |
| /Users/zhangyiyao/Desktop/project/firstapp/config/dev.env.js                                       | JavaScript |          6 |          0 |          2 |          8 |
| /Users/zhangyiyao/Desktop/project/firstapp/config/index.js                                         | JavaScript |         29 |         25 |         14 |         68 |
| /Users/zhangyiyao/Desktop/project/firstapp/config/prod.env.js                                      | JavaScript |          4 |          0 |          1 |          5 |
| /Users/zhangyiyao/Desktop/project/firstapp/config/test.env.js                                      | JavaScript |          6 |          0 |          2 |          8 |
| /Users/zhangyiyao/Desktop/project/firstapp/index.html                                              | HTML       |         11 |          1 |          1 |         13 |
| /Users/zhangyiyao/Desktop/project/firstapp/package-lock.json                                       | JSON       |     37,093 |          0 |          1 |     37,094 |
| /Users/zhangyiyao/Desktop/project/firstapp/package.json                                            | JSON       |         88 |          0 |          1 |         89 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/App.vue                                             | Vue.js     |         22 |          1 |          3 |         26 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/css/global.css                               | CSS        |          5 |          1 |          0 |          6 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/index.js                               | JavaScript |          6 |          1 |          3 |         10 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/404.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/bug.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/chart.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/clipboard.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/component.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/dashboard.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/documentation.svg                  | XML        |          1 |          0 |          0 |          1 |
