"filename", "language", "SCSS", "JavaScript", "Vue.js", "JSON", "Markdown", "HTML", "CSS", "XML", "Python", "Excel", "CSV", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/guide.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/international.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/language.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/list.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/lock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/message.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/money.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/nested.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/password.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/people.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/qq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/shopping.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/size.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/skill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tree-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tree.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
